0.000000	1.000000
0.062791	0.998027
0.125333	0.992115
0.187381	0.982287
0.248690	0.968583
0.309017	0.951057
0.368125	0.929777
0.425779	0.904828
0.481754	0.876307
0.535827	0.844329
0.587785	0.809018
0.637424	0.770514
0.684547	0.728970
0.728969	0.684548
0.770513	0.637425
0.809017	0.587786
0.844328	0.535828
0.876307	0.481755
0.904827	0.425780
0.929776	0.368126
0.951057	0.309018
0.968583	0.248691
0.982287	0.187383
0.992115	0.125335
0.998027	0.062792
1.000000	0.000001
0.998027	-0.062789
0.992115	-0.125332
0.982287	-0.187380
0.968583	-0.248689
0.951057	-0.309016
0.929776	-0.368123
0.904827	-0.425778
0.876307	-0.481753
0.844328	-0.535826
0.809017	-0.587784
0.770513	-0.637423
0.728969	-0.684546
0.684547	-0.728968
0.637424	-0.770512
0.587785	-0.809016
0.535827	-0.844327
0.481754	-0.876306
0.425779	-0.904826
0.368125	-0.929776
0.309017	-0.951056
0.248690	-0.968583
0.187381	-0.982287
0.125333	-0.992115
0.062791	-0.998027
0.000000	-1.000000
-0.062791	-0.998027
-0.125333	-0.992115
-0.187381	-0.982288
-0.248690	-0.968583
-0.309017	-0.951057
-0.368125	-0.929777
-0.425779	-0.904828
-0.481754	-0.876307
-0.535827	-0.844329
-0.587785	-0.809018
-0.637424	-0.770514
-0.684547	-0.728970
-0.728969	-0.684548
-0.770513	-0.637425
-0.809017	-0.587786
-0.844328	-0.535828
-0.876307	-0.481755
-0.904827	-0.425780
-0.929776	-0.368126
-0.951057	-0.309018
-0.968583	-0.248691
-0.982287	-0.187383
-0.992115	-0.125335
-0.998027	-0.062792
-1.000000	-0.000001
-0.998027	0.062789
-0.992115	0.125332
-0.982287	0.187380
-0.968583	0.248689
-0.951057	0.309016
-0.929776	0.368123
-0.904827	0.425778
-0.876307	0.481753
-0.844328	0.535826
-0.809017	0.587784
-0.770513	0.637423
-0.728969	0.684546
-0.684547	0.728968
-0.637424	0.770512
-0.587785	0.809016
-0.535827	0.844327
-0.481754	0.876306
-0.425779	0.904826
-0.368125	0.929776
-0.309017	0.951056
-0.248690	0.968583
-0.187381	0.982287
-0.125333	0.992115
-0.062791	0.998027
-0.000000	1.000000
